Event Name,Event Description,Date and Time,Venue,Organization,Category,Number,Author,Keywords
Natya Social - Man Mohini,"Hello everyone,

Your requests for a repeat workshop have been heard! We bring to you weekend workshop on Man Mohini!

Learn & dance from the comfort of your home! ",,,Natya Social,Dancing,,Samiksha,
Bollywood Workshop with Sneha Kapoor,Don't forget to join the amazing dance workshop on Ghani Bawri this weekend. Dance tutorial video will be shared with you after the live session. Make sure you register for our dance workshop. Fees : Rs. 450 only,,,Team Naach,Dancing,,Samiksha,
One Mic Stand : Live Taping,"Sapan Verma is taping a brand new show and you can be a part of it.Join us for a night of comedy with some very special surprise guests ! 

You don't wanna miss this one.
We will reach out to shortlisted attendees who RSVP yes and schedule a RT PCR (Covid Test) to be eligible to attend the live show taping.
Wearing a Mask and going through a temperature checks will be a mandate at the show. This show will be filmed hence, latecomers will not be allowed inside the venue. Entry for individuals 18 years of age and above only. Seats available on a first come first serve basis.",December 19 | 7PM,"Studio No 11, Film City Rd
Studio 11, Film City Rd, Film City Complex, Aarey Colony, Goregaon, Mumbai, Maharashtra 400065",Live Taping,Live Shows,,Samiksha,
Benny Dayal's original take on Bruno Mars,"Give it up for Jim Beam Originals! Yes, it’s time to get your gig routine back on track with this iconic series of virtual music concerts. 

Prepare to watch all those legendary songs live, as some of India’s finest musicians play their rendition of it. 

Played by some of India’s finest musicians, these online gigs will feature a specially curated setlist performed live for the first time. Yup!

Actually, there’s more! You can watch the live performance, share some of your favourite stories about the song, and get a chance to go to the ‘virtual backstage’ where you can hang with the artists post the gig. ",,,Jim Beam Originals,Live Shows,,Samiksha,
The Travel and Vacation Show,"""It's where you want to go!""
The Travel and Vacation Show is a platform for travel agencies and industries to interact and network. The event is considered one amongst the largest travel and leisure events. Visit the exhibition and discover the most interesting and exciting destinations and play some numerous quiz games with amazing wins. This event shows products like Travel packages, hotel deals, car rentals, adventure tourism deals, caravans, segway rides, nature trails, medical tourism and all that one may want to check out during a vacation is right there at this event etc. in the travel & tourism industry.",,,Player Expositions Inc,Tour and Tourisms,,Samiksha,
India International Travel Mart New Delhi,"""The Travel, Tourism, Recreational & Other Hospitality Services Industry Show""
India International Travel Mart seeks to provide a comprehensive panorama of the best of what the travel industry has to offer. IITM is a pioneer in travel-trade exhibitions and strives to foster a vibrant environment for business to business and business to client organizations; across the most prominent feeder cities of India to network and contract.",,,Travel Mart Industries,Tour and Tourisms,,Samiksha,
Central Florida International Auto Show,"""International Automobiles, Spare Parts and Accessories Industry Trade Fair""
The Central Florida International Auto Show is a once a year event that brings the latest vehicles under one roof. This event will showcase products like Vehicles from Chrysler, Dodge, Fiat, Ford, Jeep, Ram and Toyota. The event to see a large selection of your favourite brands displaying their latest vehicle designs equipped with the latest exciting tech! More than 400 new models of cars, trucks, SUVs, crossovers, and alternative fuel vehicles!!",,,Motor Trend Auto Shows Inc.,Auto and Automotives,,Samiksha,
Two Wheeler Forum,"""Riding The World's Largest Two Wheeler Market. What Next On The Horizon""
Two Wheeler Forum (TWF) is the only conference of its kind, dedicated to the Two Wheeler Sector in India. Attendees come hungry to learn from our highly interactive panel sessions that include industry experts from all corners of the Two Wheeler space (Two Wheeler Manufacturers, Auto Component Suppliers, Government, Auto Associations and more).In our upcoming event for the automotive sector, at TWF, we plan on welcoming more than 250 senior-level executives and more than 40 industry experts.",,,Threefold Business Solutions Pvt Ltd,Auto and Automotives,,Samiksha,
Indie Games Expo 2020 ,"Don’t miss the 2020 Virtual Indie Games Expo (VIGE 2020) which will take place this December 19th, 2020. The main event will take place between 10:00am and 8:00pm MOUNTAIN STANDARD TIME (MST). Join gamers, game developers, VR developers, musicians, artists and others at this unique on-line event.

This virtual event is a great opportunity to see, play, make connections, and discuss games, demos, art, VR, AR, music, and more on-line. You also will be able to sign up for some 2021 events which will mark our 10-year anniversary. Table top games, video games, and VR are often popular at the Indie Games Expo. Meet up with individuals from all over remotely with common interests including gamers, independent game developers, video game artists, virtual reality developers, video game developers, musicians, igda members and others at this Indie Games and VR Festival.",,,Game Works,Gaming,,Samiksha,
Taipei Game Show 2021,"Taipei Game Show, held by Taipei Computer Association (TCA), is the only game exhibition, which combines B2B and B2C zone. From 2003, it attracts tons of gamers from all over the world because of the special and amazing content. B2C ZONE can be described as an amusement park. With extraordinary stage event, and the most popular online game, mobile game, console game, VR and periphery of eSport, all the gamers are making a beeline for this “carnival style” game show every year. Especially “Indie House” and “Board Game Wonderland” trigger each gamer’s original intention and enthusiasm to game from their deepest mind.",,Nangang Exhibition Center,FMX,Gaming,,Samiksha,
Intra- School Cricket Competition,"This is an intra-school cricket tournament organized by VVHS Cricket Club to promote sportsmanship and build the spirit of cricket among teenagers. Each standard will have 4 teams with 11 players + 3 substitutes in each team. Each game will be a knockout round, and finally from the best of 3, the semi finals will be played. Entry fees are free! And the team that wins Finals is awarded a prize of 5000 INR. So come along and show off your Cricket skills and win the Golden Trophy for your team. See you soon! 
","24-12-2020, 730 am- 530pm","Azad Maidan, near Thane Jail, Thane,Maharashtra",Vasant Vihar High School Cricket Club,Sports,,Vishvesh,
Delhi International Triathlon 2021,"We are back, and now throwing Open the Gates of DIT 2021 and it only gets bigger and better by the year.
Presenting Delhi International Triathlon 2021 Grand on February 7, 2021 Register - Opening soon 
NOTE-DIT has NOTHING to do with the Triathlon that happens  in NOVEMBER...It's not OUR event NOR are we associated
Start practicing already, here are the categories:
(1) Full IRON Distance ( 40 Slots) - 3.8 Km Swim, 180 Km Cycle, 42 Km Run - 30 Slots on first come first serve basis (Cut off Time - Swim 2h20m, Cycle - 8h10m, Run - 6h30m, Total - 17h)
(2) Half IRON Distance(70 Slots) - 1.9 Km Swim, 90 Km Cycle, 21 Km Run - 50 Slots on first come first serve basis (Cut off Time - Swim 1h10m, Cycle - 4h5m, Run - 3h15m, Total - 8h30m)
(3) Olympic Triathlon - 1.5 Km Swim, 40 Km Cycle, 10 Km Run - 50 Slots on first come first serve basis (Cut off Time - Swim 1h10m, Cycle - 2h20m, Run - 1h30m, Total - 5h)
(4) Olympic Duathlon - 5 Km Run, 40 Km Cycle, 10 Km Run (Cut off time - 5h)
(5) Sprint Triathlon 800 meters Swim, 20 Km Cycle and Run 5 Km
(6) Introducing Team Relay Triathlon Olympic  Distance
",07-Feb-2021Time-TBD,"Dr Syama Prasad Mookerjee Swimming Pool Complex, Mother Teresa Crescent Talkatora Garden,President's Estate
City: New Delhi, DL
",Delhi International Triathlon - DIT,Sports,,Vishvesh,
"Street Football Tournament
","If you are a local in the Mumbai-Thane area and have kids looking to ball up, make sure to make your way to theStreet Football Tournament. There will be food, giveaways, skills games and a raffle for all that stop by! The program will cater to kids from all ages and all competition levels. Teams can register on the spot and entry is free for all.","4-01-2020, 9am-1pm,3pm-6pm.","Kolbad Ground,Thane,Maharashtra",Om Sai Mitra Mandal,Sports,,Vishvesh,
Auto Expo 2021,"Auto Expo is India's largest and most important motor show. The week-long show offers a peek into the world of new and upcoming cars, bikes, scooters and commercial vehicles in India. Automakers also display a variety of exciting concepts and futuristic technology that we'll get to see in their vehicles. This is the 15th edition of the biennial event and while the number of participants have dropped, it’ll also see the debut of newcomers such as MG Motor and Great Wall Motors from China. Making a comeback to the Expo with some key India-specific products are Skoda and Volkswagen. With mainstays such as Maruti, Hyundai Renault, Mahindra, Tata and Mercedes-Benz continuing to maintain a presence, Auto Expo 2021 promises something for everyone - from spanking-new production-spec models to insanely futuristic concepts. Cars to look forward to at Auto Expo 2020 include the new-gen Hyundai Creta, Kia QYI, MG’s Fortuner rival - the D90, the Skoda Vision IN compact SUV and the production-spec of Tata’s small SUV, the H2X. Those interested in EVs can expect a slew of electric vehicle showcases from auto giants such as Mercedes, Tata and Mahindra and start-ups alike. Maruti’s first all-electric car, the Futuro-E, and the production-ready Tata Altroz EV are going to be among the star attractions.","6-9- february-2021, 9am - 6pm.","Pragati Maidan, New Delhi, India",Auto Expo,Automotive,,Vishvesh,
Tata Altroz- Turbo Petrol Launch,"Tata Motors is all set to launch the Altroz premium hatchback in India and the company has confirmed that it will announce the price of the car on December 25, 2020. The company had already started bookings for the Altroz from December 4, 2020 and those are open online and at dealerships as well. Set to become the company's first premium hatchback, the new Tata Altroz will be offered in both petrol and diesel engines and both will be compliant to the upcoming BS6 emission norms.","25-12-2020,12 pm",Online- YouTube-live Stream. Accessible from anywhere.,Tata Motors,Automobile Launch,,Vishvesh,
Ladies Special Goa Trip,"The golden sandy beaches sweetened with the fusion of Indian and European cultures define the smallest Indian state of Goa. It is one of the hottest tourist destinations that offer a relaxed and fun-filled vacation by the sea. Delightful Goa Vacation is all about beautiful beaches, happening parties, laid back life and delicious food. The 4 days/3 nights Goa travel package will let you explore the best of this charming coastal region and immerse in its extraordinary vibe. This 4 days Goa trip is the perfect way to relax and unwind away from the chaos of daily life.",20-25 -December-2020,"Goa,India",Vimal Tours,Travel & Tourism,,Vishvesh,
Rajasthan Mewad,"Enjoy the Minimalistic Rajasthan. Visit Dilwara temple which is world famous for their stunning use of Marble, Enjoy the sunset of Mount Abu and visit Nakki lake, Visit the famous Maharana Pratap Samarak at Moti magri, the unique crystal gallery. Chittorgadh fort - Rana Kumbha palace, Meera mandir, vijay Stambha. Moinuddin Chisti Dargah, Amer fort, City palace and Jantar mantar",10-18 -February-2020,"Rajasthan,India",Kesari Tours,Travel & Tourism,,Vishvesh,
Uttarakhand Darshan,"The Natural Nainital trip package will provide you a wonderful chance to explore the serene beauty of Nainital, blessed with breathtaking attractions and a nature lover's delight. We offer attractive Nainital weekend tour packages that make your journey fun-filled and unforgettable. ITINERARY-DELHI - NAINITAL (320 KMS / 08 HRS) Morning pick from Delhi and drive to captivating Nainital. Upon arrival Nainital checked in at the Hotel. evening free for leisure, Overnight stay at the hotel. NAINITAL-After breakfast, start the lake tour of Nainital including Naukuchiatal, Bhimtal, Malli Tal and Khurpa Tal. Evening you can either do shopping in the Mall Road or enjoy a boat ride in Naini Lake and visit Naina Devi Temple. Overnight stay at the hotel. NAINITAL-DELHI-After breakfast head back to Delhi. Upon arrival at Delhi, drive to your home. Tour and Services ends.",20-24-february-2020,"Uttarakhand,India",Veena World,Travel & Tourism,,Vishvesh,
STACK,"STACK is GovTech’s flagship conference and the largest government-led developer event in Mumbai that connects government, industry and the tech community.","17-12-2020, 9am to 5pm","Mumbai,India",Government of India,Information & Technology,,Vishvesh,
AI Summit Delhi,"The AI Summit Delhi is designed to provide the platform to both turbocharge and safeguard your organizations’ AI journey. Whether through one-to-one engagement with AI pioneers, world-exclusive presentations from leading business strategists, or deep-dive workshops with the brightest minds in tech.","18-12-2020,9am-5pm","Delhi,India",Micromax India Ltd.,Information & Technology,,Vishvesh,
Qt World Summit 2021,"Qt World Summit 2021 Chennai is the largest Qt event of the year brings together the Qt ecosystem of customers, partners and #QtPeople from different industries around the world. The event offers inspiration to leading technology innovators, industry experts, startups, and device creators, featuring speakers from Rimac Automobili, Google, TopControl and more.","25-02-2020, 7am-4pm","Chennai,India",OP int. Pvt. ltd.,Information & Technology,,Vishvesh,
BBQ-Food Challenge,"The one who finishes the entire 25 pound Chicken platter wins 2500 rs. Also the food will be on us, so do join us in this food festival to rejoice the taste of our all new Kebabs, Gravies and Deserts.","23-12-2020,12pm-12 midnight","Mumbai,India",Caravan Menu,Food,,Vishvesh,
Food Fest 2021,"On this occasion of Christamas, Just pay 500 rs and enjoy from 7+ types of cuisines and over 30+ dishes on the menu, come join us and earn a discount if you bring along 10+ people. Eat as much as you want from starters, main course and desserts and live counters.","25-12-2020, 12pm-2am","Hyderabad, India",BBQ Nation,Food,,Vishvesh,
Christmas Bake Sale - Cake My Heart,"When you follow your heart, the universe will only lead you on the right path. That’s what software engineer turned baker Sandhya did. Simply follow her love for baking and today it has shaped into a beautiful gourmet studio that specially makes bespoke cakes and other heavenly confectionaries to satisfy every one of your sweet cravings. We specialise in healthy preservative-free bakes. Our signature delights range from being egg-free, gluten free, grain free, vegan and wholesome bakes. Cake My Heart also offers an array of short term baking classes to introduce home bakers to the world of Pastries and Confectioneries or to those who need specially crafted baking classes to hone their existing skills.","19-December-2020,2pm",Online- Meets,Insider,Food,,Vishvesh,
India Open (badminton),"The 2019 India Open was the eighth tournament of the 2019 BWF World Tour and also part of the India Open championships, which had been held since 2008. This tournament was organized by the Badminton Association of India with sanction from the BWF.",,K. D. Jadhav Indoor Hall in Mumbai,Badminton Association of India,Sports,,Anzal,
Tata Mumbai Marathon,"The Tata Mumbai Marathon (previously known as Standard Chartered Mumbai Marathon) is an annual international marathon held in Mumbai, India, on the third Sunday of January every year. It is the largest marathon in Asia as well as the largest mass participation sporting event on the continent. It is the richest race in India",,Mumbai,TATA,Sports,,Anzal,
Prawas,"India’s Biggest Bus and Car Travel Show for Passenger Mobility. The second edition of Prawaas 2.0 concluded on a high note, Organized by Bus and Car Operators Confederation of India (BOCI). The event brought together Operators, OEMs, Policy Makers, Thought Leaders and Industry Captains on the same platform to redefine passenger mobility in the country. More than 10000 Visitors, 150+ Exhibitors, 100+ Speakers and 5000+ Operators from 29 States and 7 Union Territories participated in the 3-day extravaganza. Thought leaders from India and abroad congregated at Prawaas to discuss the future of passenger mobility. Prawaas is back now with the theme Towards Safe, Smart and Sustainable Passenger Mobility Transport. The event is organized by BOCI (Bus Operators Confederation of India) along & MM Activ Sci-Tech Communications is the Event Partner for the event.",,CIDCO Exhibition centre mumbai,Bus and Car Operators Confederation of India (BOCI).,Auto-Automotive,,Anzal,
Automation Expo,"Automation Expo is the largest Automation & Instrumentation exhibition. It is an ideal platform for the Indian and global automation industry to converge and exhibit cutting-edge technologies, advancements, systems, and services, Factory Automation, Sensors and measuring equipment, Assembly and handling systems, technologies, devices, assembly lines system periphery, and applications.",,"Bombay Exhibition Centre,Mumbai",IED Communications LTD,Auto-Automotive,,Anzal,
Annapoorna,"Annapoorna - ANUFOOD India will be held from February 3-5, 2021, Bombay Exhibition Centre, Mumbai, India. The event is the most important B2B platform for food & beverage trade and retail market in the Indian subcontinent. The show is jointly organized by Koelnmesse YA Tradefair Pvt. Ltd. and Federation of Indian Chamber of Commerce and Industry (FICCI).The 15th edition of Annapoorna - ANUFOOD India is concurrent to ANUTEC – International FoodTec India , PackEx India , Food Logistics India & ANUTEC – Ingredients India . Annapoorna - ANUFOOD India , by its increasing quality in the exhibitors and visitors has paved its way as the most sought- after trade fair in India and the neighbouring region.","February 3-5, 2021","Bombay Exhibition Centre,Mumbai",Koelnmesse Ya Tradefair Pvt. Ltd.,Food and Beverages,,Anzal,
Express Food and Hospitality,The Express Food & Hospitality (EF&H) - Mumbai is a focused B2B trade show for the fast growing food & hospitality industry with the main objective of creating bigger opportunities and successful businesses for companies and trade professionals in India. A wide range of food and delicacies bring together diverse range of buyers and visitors from different parts of the country. The platform offers Indian and International businesses a wide spectrum of opportunity to establish and network their businesses and brands among the top professionals in the country.,,"MMRDA Grounds , Mumbai",Global Fairs & Media Private Limited ,Food and Beverages,,Anzal,
Globoil India,"GLOBOIL “ the Premier International Conference & Exhibition on Vegetable Oil, Feed & Feed Ingredients, Oilseeds & Oleochemicals is in its 23rd year. Globoil India is now an established annual feature and is keenly looked forward to by the players in the vegetable oil trade and industry. A truly interactive forum, Globoil is enriched by international participation and provides an index of the rising importance of India in the Global Market Place. Globoil India provides a meaningful interface amongst the various constituents of the Edible Oil Industry of the subcontinent, offers the best analyst and Change managers, Experts & Industry trendsetters on one interactive platform-a platform that has over the years played a definitive and vital role in coming to terms & planning for the future.",,Renaissance Mumbai Convention Centre Hotel,Tefla's,Food and Beverages,,Anzal,
Time Resolved Imaging of Photo - Induced Dynamics Faraday Discussion ,"We are aware that some speakers and delegates have been approached by companies claiming to operate on behalf of the Royal Society of Chemistry to book their travel and accommodation for our conferences. Please note that whilst we do sometimes work with accommodation providers in order to facilitate hotel bookings, they would never approach you in the first instance. Details of accommodation providers that we are working with are in the ‘accommodation’ section of this webpage. If you are unsure about an e-mail / phone call you receive, please contact us and do not provide any credit card details or personal information.",,IIT Bombay,Royal Society of Chemistry,Travel and Tourism,,Anzal,
Travel and Tourism Fair Mumbai,"TTF is India as biggest travel trade show network.Since 1989, TTF has been providing an annual marketing platform and an opportunity to network with the travel trade in 9 major cities, culminating in the grand finale  OTM, Indias leading travel trade show on the basis of number of sellers, buyers and rented area.",,BEC,Fairfest media Limited,Travel and Tourism,,Anzal,
India Omnichannel Forum,"India Omni-Channel Forum, co-located with IRF, is the premier annual event for showcasing the future of retail digitech solutions to decision makers. With IOF 2020, the dynamic event stands at the forefront of its 5th edition. It marks the coming together of thousands of powerful buyers and solution providers to meet.",,"Hotel Sahara Star , Mumbai",Reed Exhibition India,IT and Technology,,Anzal,
International Conference on Recent Advances in Engineering Science and Technology (ICRAEST),"The International Conference on Recent Advances in Engineering Science and Technology idea of the conference is for the scientists, scholars, engineers, and students from the Universities all around the world and the industry to present ongoing research activities, and hence to foster research relations between the Universities and the industry. It brings together innovative academics and industrial experts in the field of Science, Engineering, and Technology to a common forum.",,"Reliable Tech Park ,Navi Mumbai",Institute for Academic and Innovative Development,IT and Technology,,Anzal,
International Conference on Science Engineering & Technology (ICSET),"International Conference on Science Engineering & Technology is a prestigious event organized with a motivation to provide an excellent international platform for the academicians, researchers, engineers, industrial participants and budding students around the world to share their research findings with the global experts.",,Mumbai,International Society for Scientific Research and Development,IT and Technology,,Anzal,
Indian Art Festival,"INDIA ART FESTIVAL, a contemporary Art Fair, is the biggest art fair hosted annually at three metro cities, Bengaluru, New Delhi and Mumbai!l IAF aims to provide a cultural bridge between Indian artists, art galleries, art collectors and connoisseurs, with an objective to create a dialogue that would introduce a fresh perspective and buoyancy among passion investors and art collectors. The artworks including paintings, sculptures, drawings, installations, photographs and editions as well as video and digital art by over 1000 artists represented by various galleries are displayed at India Art Festival annually. IAF aims to democratise the process of art viewing and buying by bringing it from the confines of unapproachable art spaces.",,"Nehru Centre, Mumbai",Indian Art Festival,Arts and Craft,,Anzal,
Paperworld India,"INDIA ART FESTIVAL, a contemporary Art Fair, is the biggest art fair hosted annually at three metro cities, Bengaluru, New Delhi and Mumbai!l IAF aims to provide a cultural bridge between Indian artists, art galleries, art collectors and connoisseurs, with an objective to create a dialogue that would introduce a fresh perspective and buoyancy among passion investors and art collectors. The artworks including paintings, sculptures, drawings, installations, photographs and editions as well as video and digital art by over 1000 artists represented by various galleries are displayed at India Art Festival annually. IAF aims to democratise the process of art viewing and buying by bringing it from the confines of unapproachable art spaces.",,BEC,Messe Frankfurt Trade Fairs India Pvt. Ltd.,Arts and Craft,,Anzal,
Mumbai Art Fair,"Mumbai Art Fair is an initiative to promote different art forms â€“ the ways of 'Creative communications'. The main exhibition will showcase paintings, sculptures, installations, photography, ceramics etc whereas poetry recitation, performing arts, musical performances etc. are to be staged in the auditorium hall adjoining to ground floor exhibition hall, discovery of India building, Nehru Center.",,"Nehru Centre, Mumbai",Indian Art Festival,Arts and Craft,,Anzal,
All About Music Conference,"All About Music Conference addresses the real challenges and growth opportunities charted in the industry by inviting national and international speakers for panel discussions, keynotes, workshop, masterclasses, connect corners, networking opportunities, and more.",,"Taj Land Ends, Mumbai",Tarsame Mittal Talent Management,Music and Live show,,Anzal,
PALM Expo,"PALM Expo is a very elite and the largest musical instruments and accessories' expo in India. PALM Expo will display products sound reinforcement, line array, trussing, rigging, stage sound systems, staging technology, audio networking, audio for video (film & tv), radio production & playout ceiling, speakers stage lighting, lighting control & automation, lasers & effects.",,BEC,ABEC EXHIBITIONS AND CONFERENCES PVT LTD.,Music and Live show,,Anzal,
Arogya Fest,"Arogya Fest will be a large scale business-to-business and business-to-consumer platform for the alternate medication and healing .i.e. the AYUSH sector of India. The philosophy of Ayush is most widely followed across the length and breadth of India and the Asian countries and in the last two decades has been successful in penetrating into the Western cultures. The concept of Ayush is now being integrated with traditional medical sciences for better rehabilitation, therapeutic development and post-trauma care.",,BEC,Nesco Ltd,"Wellness , health and fitness ",,Anzal,
World Health and Wellness Congress,"World Health & Wellness Congress will bring an international organization representing senior executives and leaders joined by a common interest in driving economic development and understanding the health & wellness industries. Delegates from diverse sectors, including hospitality, tourism, health and wellness, beauty, finance, medical, manufacturing, and technology attend the Summit attracts attendees from across the globe.",,"Taj Land Ends, Mumbai",FUn and Joy at Work,"Wellness , health and fitness ",,Anzal,
Singularity -VR Gaming Experience,"Enter an immersive, science fiction shooter on a station stranded in the depths of space. Fight to the death against killer robots as you explore narrow corridors, treacherous lifts, and zero-gravity environments.Zero Latency is one of the world’s best free-roam VR gaming experiences where you can roam around in an area of 2000 sq. feet without wires! Featuring state-of-the-art, award-winning technology from one of the pioneers in VR entertainment, players can move around freely, as well as talk, interact and strategize with their team-mates in real-time. Choose from a variety of exciting multiplayer games ranging from cooperative like games surviving the zombie apocalypse or rescuing a space station from robots. ""Step into the world of Zero Latency where Your body is the controller and your mind believes it is real” #EXPLORE. #PLAY.",,Zero Latency Mumbai,Singularity,Gaming,,Anzal,
Clue Hunt The Terrorists Hideout,"Clue Hunt is a fun new place in Mumbai where you can solve a 60-minute mystery game challenge (to escape from a room) in a team of 2 to 8 players. It’s a great team-building, social or family event! It is NOT a virtual or online game but is something very real and completely offline. You will be physically locked inside the game room! We would like to keep the mystery around our rooms but imagine around 250 square feet of mysterious and thrill space with some furniture and mild motion involved. Goal is to get out of the locked room using only your mind, logic and the power of teamwork. (There are NO fear elements involved or hard physical activities included in the game.)",,"Clue Hunt: Lower Parel , Mumbai",Escape Games,Gaming,,Anzal,
BLAST Premier,"RFSRH planned to hold BLAST Premier Spring 2020 Finals in Moscow, like a general tournament between all regions. But given the situation, they changed the type to online and separated Europe and America into two different competitions. Also, the winner of the American Finals and two first places of the European Finals will get a direct invite to the Global Final 2020, which will be held in January 2021.",7am 06/15/2020,Online,RFRSH,Gaming,,VIshvesh,
